Product ID,Product Name,Category,Price,Quantity
101,Apple iPhone 14,Electronics,799.99,150
102,LG 55" 4K TV,Electronics,499.99,80
103,Whirlpool Washing Machine,Home Appliances,649.99,120
104,Nike Air Max 270,Sportswear,129.99,300
105,Sony Noise Cancelling Headphones,Electronics,349.99,200
106,Instant Pot Pressure Cooker,Home Appliances,89.99,350
107,The Great Gatsby,Books,10.99,500
108,Adidas Ultraboost Shoes,Sportswear,180.00,180
109,Fitbit Charge 5,Electronics,149.99,220
110,Le Creuset Dutch Oven,Kitchenware,299.99,75

